1, 29, 30
1, 28, 30
1, 27, 30
1, 26, 30
1, 25, 30
1, 24, 30
1, 23, 30
1, 22, 30
1, 21, 30
1, 20, 30
1, 19, 30
1, 18, 30
1, 17, 30
1, 16, 30
1, 15, 30
1, 14, 30
1, 13, 30
1, 12, 30
1, 11, 30
1, 10, 30
1, 9, 30
1, 8, 30
1, 7, 30
1, 6, 30
1, 5, 30
1, 4, 30
1, 3, 30
1, 2, 30
1, 2, 1
1, 3, 1
1, 4, 1
1, 5, 1
1, 6, 1
1, 7, 1
1, 8, 1
1, 9, 1
1, 10, 1
1, 11, 1
1, 12, 1
1, 13, 1
1, 14, 1
1, 15, 1
1, 16, 1
1, 17, 1
1, 18, 1
1, 19, 1
1, 20, 1
1, 21, 1
1, 22, 1
1, 23, 1
1, 24, 1
1, 25, 1
1, 26, 1
1, 27, 1
1, 28, 1
1, 29, 1
